file_name,speaker_id,speaker_group,speaker_gender,word,transcription,emotion,label,audio_path,duration_seconds,split,split_strategy
OAF_back_angry.wav,OAF,older_adult_female,female,back,Say the word back.,angry,0,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_back_angry.wav,1.5390625,train,sample_stratified
OAF_back_disgust.wav,OAF,older_adult_female,female,back,Say the word back.,disgust,1,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_back_disgust.wav,2.260375,val,sample_stratified
OAF_back_fear.wav,OAF,older_adult_female,female,back,Say the word back.,fear,2,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_back_fear.wav,1.727125,val,sample_stratified
OAF_back_happy.wav,OAF,older_adult_female,female,back,Say the word back.,happy,3,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_back_happy.wav,2.001,train,sample_stratified
OAF_back_neutral.wav,OAF,older_adult_female,female,back,Say the word back.,neutral,4,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_back_neutral.wav,2.0434375,train,sample_stratified
OAF_back_ps.wav,OAF,older_adult_female,female,back,Say the word back.,pleasant_surprise,5,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_back_ps.wav,2.0324375,train,sample_stratified
OAF_back_sad.wav,OAF,older_adult_female,female,back,Say the word back.,sad,6,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_back_sad.wav,2.5624375,train,sample_stratified
OAF_bar_angry.wav,OAF,older_adult_female,female,bar,Say the word bar.,angry,0,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_bar_angry.wav,1.616625,val,sample_stratified
OAF_bar_disgust.wav,OAF,older_adult_female,female,bar,Say the word bar.,disgust,1,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_bar_disgust.wav,2.273,train,sample_stratified
OAF_bar_fear.wav,OAF,older_adult_female,female,bar,Say the word bar.,fear,2,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_bar_fear.wav,1.6896875,train,sample_stratified
OAF_bar_happy.wav,OAF,older_adult_female,female,bar,Say the word bar.,happy,3,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_bar_happy.wav,2.000375,val,sample_stratified
OAF_bar_neutral.wav,OAF,older_adult_female,female,bar,Say the word bar.,neutral,4,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_bar_neutral.wav,2.002,train,sample_stratified
OAF_bar_ps.wav,OAF,older_adult_female,female,bar,Say the word bar.,pleasant_surprise,5,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_bar_ps.wav,1.9344375,val,sample_stratified
OAF_bar_sad.wav,OAF,older_adult_female,female,bar,Say the word bar.,sad,6,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_bar_sad.wav,2.5018125,train,sample_stratified
OAF_base_angry.wav,OAF,older_adult_female,female,base,Say the word base.,angry,0,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_base_angry.wav,1.5420625,train,sample_stratified
OAF_base_disgust.wav,OAF,older_adult_female,female,base,Say the word base.,disgust,1,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_base_disgust.wav,2.4974375,train,sample_stratified
OAF_base_fear.wav,OAF,older_adult_female,female,base,Say the word base.,fear,2,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_base_fear.wav,1.8691875,test,sample_stratified
OAF_base_happy.wav,OAF,older_adult_female,female,base,Say the word base.,happy,3,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_base_happy.wav,2.0331875,train,sample_stratified
OAF_base_neutral.wav,OAF,older_adult_female,female,base,Say the word base.,neutral,4,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_base_neutral.wav,2.149875,train,sample_stratified
OAF_base_ps.wav,OAF,older_adult_female,female,base,Say the word base.,pleasant_surprise,5,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_base_ps.wav,2.1643125,test,sample_stratified
OAF_base_sad.wav,OAF,older_adult_female,female,base,Say the word base.,sad,6,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_base_sad.wav,2.569625,train,sample_stratified
OAF_bath_angry.wav,OAF,older_adult_female,female,bath,Say the word bath.,angry,0,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_bath_angry.wav,1.606875,train,sample_stratified
OAF_bath_disgust.wav,OAF,older_adult_female,female,bath,Say the word bath.,disgust,1,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_bath_disgust.wav,2.314,test,sample_stratified
OAF_bath_fear.wav,OAF,older_adult_female,female,bath,Say the word bath.,fear,2,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_bath_fear.wav,1.7751875,test,sample_stratified
OAF_bath_happy.wav,OAF,older_adult_female,female,bath,Say the word bath.,happy,3,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_bath_happy.wav,2.0350625,val,sample_stratified
OAF_bath_neutral.wav,OAF,older_adult_female,female,bath,Say the word bath.,neutral,4,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_bath_neutral.wav,2.1648125,test,sample_stratified
OAF_bath_ps.wav,OAF,older_adult_female,female,bath,Say the word bath.,pleasant_surprise,5,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_bath_ps.wav,2.075125,train,sample_stratified
OAF_bath_sad.wav,OAF,older_adult_female,female,bath,Say the word bath.,sad,6,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_bath_sad.wav,2.5841875,train,sample_stratified
OAF_bean_angry.wav,OAF,older_adult_female,female,bean,Say the word bean.,angry,0,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_bean_angry.wav,1.3951875,val,sample_stratified
OAF_bean_disgust.wav,OAF,older_adult_female,female,bean,Say the word bean.,disgust,1,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_bean_disgust.wav,2.346375,train,sample_stratified
OAF_bean_fear.wav,OAF,older_adult_female,female,bean,Say the word bean.,fear,2,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_bean_fear.wav,1.6051875,val,sample_stratified
OAF_bean_happy.wav,OAF,older_adult_female,female,bean,Say the word bean.,happy,3,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_bean_happy.wav,1.8741875,train,sample_stratified
OAF_bean_neutral.wav,OAF,older_adult_female,female,bean,Say the word bean.,neutral,4,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_bean_neutral.wav,2.076625,train,sample_stratified
