file_name,session_id,emotion,label,audio_path,duration_seconds,split,split_strategy
Session3_00859.wav,Ses03,happy,1,/content/explainable-models-for-speech-analysis/data/raw/iemocap_4class/audio/Session3_00859.wav,0.5849375,train,speaker_independent
Session3_00938.wav,Ses03,neutral,2,/content/explainable-models-for-speech-analysis/data/raw/iemocap_4class/audio/Session3_00938.wav,0.73,train,speaker_independent
Session2_00126.wav,Ses02,neutral,2,/content/explainable-models-for-speech-analysis/data/raw/iemocap_4class/audio/Session2_00126.wav,0.7321875,val,speaker_independent
Session4_00490.wav,Ses04,angry,0,/content/explainable-models-for-speech-analysis/data/raw/iemocap_4class/audio/Session4_00490.wav,0.7599375,train,speaker_independent
Session2_00987.wav,Ses02,sad,3,/content/explainable-models-for-speech-analysis/data/raw/iemocap_4class/audio/Session2_00987.wav,0.7641875,val,speaker_independent
Session5_00973.wav,Ses05,neutral,2,/content/explainable-models-for-speech-analysis/data/raw/iemocap_4class/audio/Session5_00973.wav,0.7799375,train,speaker_independent
Session1_01011.wav,Ses01,neutral,2,/content/explainable-models-for-speech-analysis/data/raw/iemocap_4class/audio/Session1_01011.wav,0.8424375,test,speaker_independent
Session4_00741.wav,Ses04,neutral,2,/content/explainable-models-for-speech-analysis/data/raw/iemocap_4class/audio/Session4_00741.wav,0.85,train,speaker_independent
Session4_00542.wav,Ses04,neutral,2,/content/explainable-models-for-speech-analysis/data/raw/iemocap_4class/audio/Session4_00542.wav,0.86725,train,speaker_independent
Session2_00438.wav,Ses02,sad,3,/content/explainable-models-for-speech-analysis/data/raw/iemocap_4class/audio/Session2_00438.wav,0.87,val,speaker_independent
Session2_00213.wav,Ses02,neutral,2,/content/explainable-models-for-speech-analysis/data/raw/iemocap_4class/audio/Session2_00213.wav,0.8899375,val,speaker_independent
Session5_00425.wav,Ses05,neutral,2,/content/explainable-models-for-speech-analysis/data/raw/iemocap_4class/audio/Session5_00425.wav,0.8899375,train,speaker_independent
Session2_00102.wav,Ses02,happy,1,/content/explainable-models-for-speech-analysis/data/raw/iemocap_4class/audio/Session2_00102.wav,0.8949375,val,speaker_independent
Session4_00976.wav,Ses04,neutral,2,/content/explainable-models-for-speech-analysis/data/raw/iemocap_4class/audio/Session4_00976.wav,0.8999375,train,speaker_independent
Session5_01160.wav,Ses05,sad,3,/content/explainable-models-for-speech-analysis/data/raw/iemocap_4class/audio/Session5_01160.wav,0.8999375,train,speaker_independent
