file_name,session_id,emotion,label,audio_path,duration_seconds
Session4_00933.wav,Ses04,angry,0,/content/explainable-models-for-speech-analysis/data/raw/iemocap_speech_4class/audio/Session4_00933.wav,2.00125
Session1_00126.wav,Ses01,angry,0,/content/explainable-models-for-speech-analysis/data/raw/iemocap_speech_4class/audio/Session1_00126.wav,2.0025
Session5_00367.wav,Ses05,sad,3,/content/explainable-models-for-speech-analysis/data/raw/iemocap_speech_4class/audio/Session5_00367.wav,2.003
Session1_00048.wav,Ses01,neutral,2,/content/explainable-models-for-speech-analysis/data/raw/iemocap_speech_4class/audio/Session1_00048.wav,2.0046875
Session3_01004.wav,Ses03,happy,1,/content/explainable-models-for-speech-analysis/data/raw/iemocap_speech_4class/audio/Session3_01004.wav,2.004875
Session5_00750.wav,Ses05,sad,3,/content/explainable-models-for-speech-analysis/data/raw/iemocap_speech_4class/audio/Session5_00750.wav,2.0049375
Session3_00962.wav,Ses03,happy,1,/content/explainable-models-for-speech-analysis/data/raw/iemocap_speech_4class/audio/Session3_00962.wav,2.00625
Session1_00534.wav,Ses01,sad,3,/content/explainable-models-for-speech-analysis/data/raw/iemocap_speech_4class/audio/Session1_00534.wav,2.0063125
Session1_00083.wav,Ses01,sad,3,/content/explainable-models-for-speech-analysis/data/raw/iemocap_speech_4class/audio/Session1_00083.wav,2.0099375
Session1_00956.wav,Ses01,angry,0,/content/explainable-models-for-speech-analysis/data/raw/iemocap_speech_4class/audio/Session1_00956.wav,2.0099375
Session5_00463.wav,Ses05,happy,1,/content/explainable-models-for-speech-analysis/data/raw/iemocap_speech_4class/audio/Session5_00463.wav,2.0099375
Session5_00521.wav,Ses05,happy,1,/content/explainable-models-for-speech-analysis/data/raw/iemocap_speech_4class/audio/Session5_00521.wav,2.0099375
Session5_00858.wav,Ses05,neutral,2,/content/explainable-models-for-speech-analysis/data/raw/iemocap_speech_4class/audio/Session5_00858.wav,2.0099375
Session5_01171.wav,Ses05,happy,1,/content/explainable-models-for-speech-analysis/data/raw/iemocap_speech_4class/audio/Session5_01171.wav,2.0099375
Session4_00220.wav,Ses04,happy,1,/content/explainable-models-for-speech-analysis/data/raw/iemocap_speech_4class/audio/Session4_00220.wav,2.01
Session4_00045.wav,Ses04,neutral,2,/content/explainable-models-for-speech-analysis/data/raw/iemocap_speech_4class/audio/Session4_00045.wav,2.0130625
Session4_00016.wav,Ses04,sad,3,/content/explainable-models-for-speech-analysis/data/raw/iemocap_speech_4class/audio/Session4_00016.wav,2.014625
Session2_00998.wav,Ses02,sad,3,/content/explainable-models-for-speech-analysis/data/raw/iemocap_speech_4class/audio/Session2_00998.wav,2.01475
