epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,learning_rate
1,1.292048393278829,0.3660552828726427,0.36764709362539194,1.1951865420284042,0.38072289156626504,0.3583456514756158,0.0002
2,1.1531085077104444,0.47403771635236375,0.4722882940581504,1.0845687228513052,0.5662650602409639,0.5644385776674096,0.0002
3,1.054897022352019,0.53732885559287,0.5408372398982423,1.001246525006122,0.5879518072289157,0.5915499586055496,0.0002
4,0.9998501392335923,0.5709119090674244,0.5746608422862385,0.9672142497028213,0.5951807228915663,0.5953088445822694,0.0002
5,0.9587144370043318,0.6008783260139499,0.6054749207457865,0.9345310252833079,0.6156626506024097,0.6218425130139541,0.0002
6,0.9268775243101364,0.6256781193490054,0.6312241359887975,0.9189778405499746,0.6265060240963856,0.6252768733411573,0.0002
7,0.9116350803009394,0.6357530353913717,0.6418779722701129,0.8997760241290172,0.6301204819277109,0.6335854808469257,0.0002
8,0.8862768393467021,0.64892792560062,0.6540134003519777,0.8952202140566814,0.6445783132530121,0.649277423945913,0.0002
9,0.860164482166711,0.6711444071299406,0.6759625464294278,0.8724813379437091,0.6771084337349398,0.6827194598070474,0.0002
10,0.8531063831428384,0.67553603719969,0.6809625916407004,0.8929010419960481,0.6349397590361445,0.6328035106382996,0.0002
11,0.8329156481828593,0.6830276414363213,0.6880507012720674,0.8766981930617826,0.6734939759036145,0.6790276873174599,0.0002
12,0.8381526035352198,0.6801859984500129,0.6865627709550969,0.88010227392955,0.636144578313253,0.6335731295234772,0.0002
13,0.8276757683072772,0.6838026349780418,0.6898640570661886,0.8714918261550996,0.636144578313253,0.6339501861706671,0.0002
14,0.8029466055524161,0.6925858951175407,0.6978286101333991,0.8407565559249326,0.691566265060241,0.6970222153364594,0.0002
15,0.8022460667269694,0.7044691294239215,0.7105878308459923,0.846541099806866,0.6843373493975904,0.687188888952813,0.0002
16,0.7848906990201305,0.7140273831051408,0.7187467230121785,0.8582766331822039,0.6927710843373494,0.6969541482687964,0.0002
17,0.7776465781650873,0.7181606819943167,0.722520679739258,0.8278910055217973,0.7072289156626506,0.7125591200508526,0.0002
18,0.7945076156974424,0.7065357788685094,0.7114957121496315,0.8346663778086743,0.7072289156626506,0.7120593495135651,0.0002
19,0.7755522397376868,0.7142857142857143,0.7193730178280946,0.8636400630675166,0.6987951807228916,0.7012477603825159,0.0002
20,0.7777000055144351,0.7142857142857143,0.718442974297137,0.848414957523346,0.7048192771084337,0.7082877409734915,0.0002
21,0.758398713683072,0.7310772410229914,0.7360124601048822,0.8143785934850394,0.7144578313253012,0.7192847364818618,0.0002
